Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
6075012404,"Census Tract 124.04, San Francisco County, California",ACSSF,ca,140,0,9908,,,,,6,75,,,12404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012404,Census Tract 124.04,,,,2566,144545.4,0.017752206
6075012405,"Census Tract 124.05, San Francisco County, California",ACSSF,ca,140,0,9909,,,,,6,75,,,12405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012405,Census Tract 124.05,,,,3817,33489.45,0.113976204
6075012406,"Census Tract 124.06, San Francisco County, California",ACSSF,ca,140,0,9910,,,,,6,75,,,12406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012406,Census Tract 124.06,,,,1463,60312.81,0.024256869
6075012502,"Census Tract 125.02, San Francisco County, California",ACSSF,ca,140,0,9911,,,,,6,75,,,12502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012502,Census Tract 125.02,,,,4371,184754.6,0.023658411
6075012503,"Census Tract 125.03, San Francisco County, California",ACSSF,ca,140,0,9912,,,,,6,75,,,12503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012503,Census Tract 125.03,,,,3788,90069.17,0.042056566
6075012504,"Census Tract 125.04, San Francisco County, California",ACSSF,ca,140,0,9913,,,,,6,75,,,12504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012504,Census Tract 125.04,,,,617,60772.87,0.010152557
6075012601,"Census Tract 126.01, San Francisco County, California",ACSSF,ca,140,0,9914,,,,,6,75,,,12601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012601,Census Tract 126.01,,,,2241,34050.4,0.065814205
6075012602,"Census Tract 126.02, San Francisco County, California",ACSSF,ca,140,0,9915,,,,,6,75,,,12602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012602,Census Tract 126.02,,,,2977,12485.96,0.238427746
6075012700,"Census Tract 127, San Francisco County, California",ACSSF,ca,140,0,9916,,,,,6,75,,,12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012700,Census Tract 127,,,,4046,23426.44,0.172710839
6075012801,"Census Tract 128.01, San Francisco County, California",ACSSF,ca,140,0,9917,,,,,6,75,,,12801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075012801,Census Tract 128.01,,,,2791,24238.69,0.115146479
