Census Tract,Total Population,ZIP,Longitude,Latitude,Poverty,Poverty Pctl
6075042602,2861,94118,-122.4754787,37.7833793,8,6.08
6075021000,4523,94110,-122.422849,37.7515789,15.2,22.47
6075013300,4634,94118,-122.4524293,37.7887307,15.9,24.17
6075016900,3254,94114,-122.4324782,37.7670961,13.5,18.44
6075016600,5691,94117,-122.4474539,37.7704942,13,17.19
6075030900,7103,94127,-122.4682602,37.7283108,9.2,8.38
6075015100,2624,94109,-122.4234011,37.7874457,11.6,13.73
6075013500,2606,94115,-122.4325551,37.7908976,13,17.19
6075010900,4486,94109,-122.4205531,37.7980418,17.3,27.85
6075015600,3506,94118,-122.4564254,37.7782427,21.8,37.89
6075015400,5951,94118,-122.4510358,37.7843608,8.6,7.24
6075013101,4061,94109,-122.4247493,37.7937758,7.9,5.92
6075032700,6898,94122,-122.4911676,37.760167,11.1,12.69
6075013400,3742,94115,-122.440799,37.789849,4.8,1.37
6075032901,5615,94116,-122.4901861,37.7461534,10.6,11.44
6075010200,4167,94109,-122.4229252,37.8058607,6.8,4.02
6075030101,5048,94122,-122.4597306,37.7642357,18.1,29.74
6075016700,5376,94117,-122.4377358,37.7703481,12.5,15.83
6075016801,4145,94117,-122.4290086,37.7713294,17.3,27.85
6075012700,4092,94123,-122.4447181,37.8049898,7.6,5.35
6075013200,4292,94115,-122.4387455,37.7936676,5.2,1.75
6075035100,9116,94122,-122.4991499,37.7576269,13.3,17.89
6075031000,3804,94112,-122.4571587,37.7286172,10,10.14
6075030301,5914,94122,-122.4692415,37.7569429,17.4,28.17
6075031100,6437,94112,-122.4461642,37.7296356,9.3,8.53
6075030202,4438,94122,-122.4673274,37.7630839,16.1,24.72
6075012602,2844,94123,-122.4356807,37.806476,9.3,8.53
6075012800,4556,94123,-122.4417466,37.7978099,11,12.45
6075030400,5573,94116,-122.4675173,37.7469509,10.8,11.95
6075017101,4113,94117,-122.4460837,37.7657245,7.5,5.09
6075013102,3012,94109,-122.4274293,37.7926193,12.2,15.03
6075016400,4008,94117,-122.4369729,37.7750995,7.8,5.80
6075021500,5674,94131,-122.426705,37.7450512,11.9,14.48
6075015802,3412,94115,-122.4385023,37.778079,17.4,28.17
6075012601,2516,94123,-122.4391478,37.8022695,8.6,7.24
6075017102,4095,94117,-122.4504754,37.7654353,15.5,23.17
6075020402,4564,94131,-122.4444148,37.7528357,14.5,20.80
6075030102,5262,94131,-122.4580012,37.7594542,10.7,11.67
6075030700,7024,94127,-122.4503095,37.7372232,13.1,17.49
6075030302,4348,94116,-122.4716376,37.7519442,13.5,18.44
6075030500,3230,94131,-122.4517871,37.7523832,14,19.60
6075021700,4556,94131,-122.4392706,37.740278,13.8,19.12
6075012902,3865,94123,-122.4321032,37.8006155,8,6.08
6075020300,3548,94114,-122.4294368,37.7649411,15.7,23.66
6075020600,5191,94114,-122.4303496,37.7595628,9.6,9.27
6075017000,4287,94114,-122.4394975,37.7648874,5.4,1.98
6075021400,3823,94114,-122.4294049,37.7495758,7.6,5.35
6075030600,2495,94127,-122.4571446,37.743754,9.7,9.46
6075021800,4095,94131,-122.4290987,37.737952,8.3,6.73
6075021200,3105,94114,-122.4381261,37.7531762,3.3,0.35
6075012901,2783,94123,-122.427246,37.8019611,5.8,2.47
6075021100,4080,94114,-122.4298144,37.75397,8.9,7.83
6075030800,6226,94127,-122.4678545,37.7391922,5.5,2.12
6075020401,3176,94114,-122.4434836,37.7595166,9.9,9.85
6075060100,4226,94129,-122.480109,37.7991353,10.8,11.95
6075013000,4719,94123,-122.4305121,37.7972449,11.7,14.05
6075020500,3046,94114,-122.4370296,37.7591285,10,10.14
6075021600,4135,94131,-122.4381417,37.7454964,11.2,12.84
6075021300,2590,94114,-122.4384676,37.7492646,8.7,7.37
6075980200,312,94121,-122.5028261,37.7860688,NA,NA
6075980300,63,94122,-122.4920873,37.7684025,NA,NA
6075980900,253,94124,-122.389477,37.7462861,24.5,43.53
