Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,PCT_SE_A20001_002,PCT_SE_A20001_003,PCT_SE_A20001_004,PCT_SE_A20001_005,SE_A20002_002,SE_A20002_003,SE_A20002_004,SE_A20002_005,SE_A20002_006,SE_A20002_007,SE_A20002_008,SE_A20002_009,SE_A20002_010,SE_A20002_011,SE_A20002_012,SE_A20002_013,SE_A20002_014,SE_A20002_015,SE_A20002_016,SE_A20002_017,SE_A20002_018,SE_A20002_019,SE_A20002_020,SE_A20002_021,SE_A20002_022,SE_A20002_023,SE_A20002_024,SE_A20002_025,SE_A20002_026,PCT_SE_A20002_003,PCT_SE_A20002_004,PCT_SE_A20002_005,PCT_SE_A20002_006,PCT_SE_A20002_008,PCT_SE_A20002_009,PCT_SE_A20002_010,PCT_SE_A20002_011,PCT_SE_A20002_013,PCT_SE_A20002_014,PCT_SE_A20002_015,PCT_SE_A20002_016,PCT_SE_A20002_018,PCT_SE_A20002_019,PCT_SE_A20002_020,PCT_SE_A20002_021,PCT_SE_A20002_023,PCT_SE_A20002_024,PCT_SE_A20002_025,PCT_SE_A20002_026
"06075011700","Census Tract 117, San Francisco County, California","ACSSF","ca","140","00","0009895",,,,,"06","075",,,"011700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075011700","Census Tract 117",,,,1800,136,1664,797,1121,7.56,92.44,44.28,62.28,203,22,181,152,138,68,9,59,13,50,303,40,263,0,263,930,41,889,365,594,296,24,272,267,76,10.84,89.16,74.88,67.98,13.24,86.76,19.12,73.53,13.2,86.8,0,86.8,4.41,95.59,39.25,63.87,8.11,91.89,90.2,25.68
"06075011800","Census Tract 118, San Francisco County, California","ACSSF","ca","140","00","0009896",,,,,"06","075",,,"011800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075011800","Census Tract 118",,,,1658,62,1596,922,765,3.74,96.26,55.61,46.14,127,0,127,114,19,111,0,111,49,62,343,18,325,49,276,667,44,623,315,327,410,0,410,395,81,0,100,89.76,14.96,0,100,44.14,55.86,5.25,94.75,14.29,80.47,6.6,93.4,47.23,49.03,0,100,96.34,19.76
"06075011901","Census Tract 119.01, San Francisco County, California","ACSSF","ca","140","00","0009897",,,,,"06","075",,,"011901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075011901","Census Tract 119.01",,,,2298,95,2203,419,2027,4.13,95.87,18.23,88.21,142,15,127,15,112,268,22,246,15,231,654,16,638,17,638,898,34,864,44,836,336,8,328,328,210,10.56,89.44,10.56,78.87,8.21,91.79,5.6,86.19,2.45,97.55,2.6,97.55,3.79,96.21,4.9,93.1,2.38,97.62,97.62,62.5
"06075011902","Census Tract 119.02, San Francisco County, California","ACSSF","ca","140","00","0009898",,,,,"06","075",,,"011902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075011902","Census Tract 119.02",,,,2771,82,2689,859,1990,2.96,97.04,31,71.82,130,0,130,47,83,366,23,343,33,316,726,13,713,19,707,990,46,944,211,749,559,0,559,549,135,0,100,36.15,63.85,6.28,93.72,9.02,86.34,1.79,98.21,2.62,97.38,4.65,95.35,21.31,75.66,0,100,98.21,24.15
"06075012001","Census Tract 120.01, San Francisco County, California","ACSSF","ca","140","00","0009899",,,,,"06","075",,,"012001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075012001","Census Tract 120.01",,,,1834,18,1816,532,1369,0.98,99.02,29.01,74.65,121,0,121,0,121,246,0,246,148,98,380,0,380,70,326,883,18,865,110,755,204,0,204,204,69,0,100,0,100,0,100,60.16,39.84,0,100,18.42,85.79,2.04,97.96,12.46,85.5,0,100,100,33.82
"06075012002","Census Tract 120.02, San Francisco County, California","ACSSF","ca","140","00","0009900",,,,,"06","075",,,"012002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075012002","Census Tract 120.02",,,,2202,289,1913,471,1463,13.12,86.88,21.39,66.44,36,0,36,36,0,305,89,216,27,195,783,10,773,27,746,994,190,804,304,513,84,0,84,77,9,0,100,100,0,29.18,70.82,8.85,63.93,1.28,98.72,3.45,95.27,19.11,80.89,30.58,51.61,0,100,91.67,10.71
"06075012100","Census Tract 121, San Francisco County, California","ACSSF","ca","140","00","0009901",,,,,"06","075",,,"012100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075012100","Census Tract 121",,,,3846,129,3717,671,3324,3.35,96.65,17.45,86.43,433,44,389,44,359,502,13,489,61,464,1385,19,1366,152,1314,1274,53,1221,191,1030,252,0,252,223,157,10.16,89.84,10.16,82.91,2.59,97.41,12.15,92.43,1.37,98.63,10.97,94.87,4.16,95.84,14.99,80.85,0,100,88.49,62.3
"06075012202","Census Tract 122.02, San Francisco County, California","ACSSF","ca","140","00","0009902",,,,,"06","075",,,"012202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075012202","Census Tract 122.02",,,,2807,239,2568,1371,1464,8.51,91.49,48.84,52.16,198,0,198,104,145,158,24,134,18,116,388,77,311,38,283,1594,138,1456,742,751,469,0,469,469,169,0,100,52.53,73.23,15.19,84.81,11.39,73.42,19.85,80.15,9.79,72.94,8.66,91.34,46.55,47.11,0,100,100,36.03
"06075012203","Census Tract 122.03, San Francisco County, California","ACSSF","ca","140","00","0009903",,,,,"06","075",,,"012203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075012203","Census Tract 122.03",,,,1834,128,1706,936,802,6.98,93.02,51.04,43.73,218,0,218,91,127,90,0,90,19,90,244,52,192,0,192,995,55,940,560,380,287,21,266,266,13,0,100,41.74,58.26,0,100,21.11,100,21.31,78.69,0,78.69,5.53,94.47,56.28,38.19,7.32,92.68,92.68,4.53
"06075012204","Census Tract 122.04, San Francisco County, California","ACSSF","ca","140","00","0009904",,,,,"06","075",,,"012204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075012204","Census Tract 122.04",,,,2763,209,2554,865,1902,7.56,92.44,31.31,68.84,210,12,198,95,103,185,23,162,49,113,968,109,859,63,796,1070,65,1005,328,677,330,0,330,330,213,5.71,94.29,45.24,49.05,12.43,87.57,26.49,61.08,11.26,88.74,6.51,82.23,6.07,93.93,30.65,63.27,0,100,100,64.55
