FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Total,No Health Insurance,With Health Insurance,Public Health Insurance,Private Health Insurance,Percent No Health Insurance,Percent With Health Insurance,Percent Public Health Insurance,Percent Private Health Insurance
06075016400,"Census Tract 164, San Francisco County, California",ACSSF,ca,140,0,9948,6,75,16400,14000US06075016400,Census Tract 164,,4109,211,3898,582,3620,5.14,94.86,14.16,88.1
06075016500,"Census Tract 165, San Francisco County, California",ACSSF,ca,140,0,9949,6,75,16500,14000US06075016500,Census Tract 165,,5108,36,5072,899,4361,0.7,99.3,17.6,85.38
06075016601,"Census Tract 166.01, San Francisco County, California",ACSSF,ca,140,0,9950,6,75,16601,14000US06075016601,Census Tract 166.01,,3180,70,3110,686,2673,2.2,97.8,21.57,84.06
06075016602,"Census Tract 166.02, San Francisco County, California",ACSSF,ca,140,0,9951,6,75,16602,14000US06075016602,Census Tract 166.02,,2498,72,2426,329,2309,2.88,97.12,13.17,92.43
06075016700,"Census Tract 167, San Francisco County, California",ACSSF,ca,140,0,9952,6,75,16700,14000US06075016700,Census Tract 167,,5427,105,5322,682,4917,1.93,98.07,12.57,90.6
06075016801,"Census Tract 168.01, San Francisco County, California",ACSSF,ca,140,0,9953,6,75,16801,14000US06075016801,Census Tract 168.01,,4243,137,4106,825,3542,3.23,96.77,19.44,83.48
06075016802,"Census Tract 168.02, San Francisco County, California",ACSSF,ca,140,0,9954,6,75,16802,14000US06075016802,Census Tract 168.02,,3661,121,3540,1267,2572,3.31,96.69,34.61,70.25
06075016900,"Census Tract 169, San Francisco County, California",ACSSF,ca,140,0,9955,6,75,16900,14000US06075016900,Census Tract 169,,3111,92,3019,654,2664,2.96,97.04,21.02,85.63
06075017000,"Census Tract 170, San Francisco County, California",ACSSF,ca,140,0,9956,6,75,17000,14000US06075017000,Census Tract 170,,4375,10,4365,715,4102,0.23,99.77,16.34,93.76
06075017101,"Census Tract 171.01, San Francisco County, California",ACSSF,ca,140,0,9957,6,75,17101,14000US06075017101,Census Tract 171.01,,4249,41,4208,805,3765,0.96,99.04,18.95,88.61
06075017102,"Census Tract 171.02, San Francisco County, California",ACSSF,ca,140,0,9958,6,75,17102,14000US06075017102,Census Tract 171.02,,3665,85,3580,690,3143,2.32,97.68,18.83,85.76
06075017602,"Census Tract 176.02, San Francisco County, California",ACSSF,ca,140,0,9959,6,75,17602,14000US06075017602,Census Tract 176.02,,3218,77,3141,1170,2108,2.39,97.61,36.36,65.51
06075017603,"Census Tract 176.03, San Francisco County, California",ACSSF,ca,140,0,9960,6,75,17603,14000US06075017603,Census Tract 176.03,,4509,212,4297,1484,2961,4.7,95.3,32.91,65.67
06075017604,"Census Tract 176.04, San Francisco County, California",ACSSF,ca,140,0,9961,6,75,17604,14000US06075017604,Census Tract 176.04,,2856,84,2772,711,2125,2.94,97.06,24.89,74.4
06075017700,"Census Tract 177, San Francisco County, California",ACSSF,ca,140,0,9962,6,75,17700,14000US06075017700,Census Tract 177,,1989,116,1873,511,1428,5.83,94.17,25.69,71.79
06075017801,"Census Tract 178.01, San Francisco County, California",ACSSF,ca,140,0,9963,6,75,17801,14000US06075017801,Census Tract 178.01,,3636,0,3636,1861,2127,0,100,51.18,58.5
06075017803,"Census Tract 178.03, San Francisco County, California",ACSSF,ca,140,0,9964,6,75,17803,14000US06075017803,Census Tract 178.03,,2507,45,2462,955,1633,1.79,98.21,38.09,65.14
06075017804,"Census Tract 178.04, San Francisco County, California",ACSSF,ca,140,0,9965,6,75,17804,14000US06075017804,Census Tract 178.04,,4441,174,4267,1401,3018,3.92,96.08,31.55,67.96
06075017903,"Census Tract 179.03, San Francisco County, California",ACSSF,ca,140,0,9966,6,75,17903,14000US06075017903,Census Tract 179.03,,3185,536,2649,1458,1385,16.83,83.17,45.78,43.49
06075018000,"Census Tract 180, San Francisco County, California",ACSSF,ca,140,0,9967,6,75,18000,14000US06075018000,Census Tract 180,,3573,100,3473,1010,2606,2.8,97.2,28.27,72.94
06075020101,"Census Tract 201.01, San Francisco County, California",ACSSF,ca,140,0,9968,6,75,20101,14000US06075020101,Census Tract 201.01,,3550,79,3471,749,3008,2.23,97.77,21.1,84.73
06075020102,"Census Tract 201.02, San Francisco County, California",ACSSF,ca,140,0,9969,6,75,20102,14000US06075020102,Census Tract 201.02,,2941,200,2741,1033,1889,6.8,93.2,35.12,64.23
06075020201,"Census Tract 202.01, San Francisco County, California",ACSSF,ca,140,0,9970,6,75,20201,14000US06075020201,Census Tract 202.01,,2168,64,2104,515,1676,2.95,97.05,23.75,77.31
06075020202,"Census Tract 202.02, San Francisco County, California",ACSSF,ca,140,0,9971,6,75,20202,14000US06075020202,Census Tract 202.02,,4132,0,4132,1714,2626,0,100,41.48,63.55
06075020300,"Census Tract 203, San Francisco County, California",ACSSF,ca,140,0,9972,6,75,20300,14000US06075020300,Census Tract 203,,3521,95,3426,649,3037,2.7,97.3,18.43,86.25
06075020401,"Census Tract 204.01, San Francisco County, California",ACSSF,ca,140,0,9973,6,75,20401,14000US06075020401,Census Tract 204.01,,3271,109,3162,427,2927,3.33,96.67,13.05,89.48
06075020402,"Census Tract 204.02, San Francisco County, California",ACSSF,ca,140,0,9974,6,75,20402,14000US06075020402,Census Tract 204.02,,4419,92,4327,926,3878,2.08,97.92,20.95,87.76
06075020500,"Census Tract 205, San Francisco County, California",ACSSF,ca,140,0,9975,6,75,20500,14000US06075020500,Census Tract 205,,2954,9,2945,580,2554,0.3,99.7,19.63,86.46
06075020601,"Census Tract 206.01, San Francisco County, California",ACSSF,ca,140,0,9976,6,75,20601,14000US06075020601,Census Tract 206.01,,3132,32,3100,838,2450,1.02,98.98,26.76,78.22
06075020602,"Census Tract 206.02, San Francisco County, California",ACSSF,ca,140,0,9977,6,75,20602,14000US06075020602,Census Tract 206.02,,2487,172,2315,688,1894,6.92,93.08,27.66,76.16
06075020701,"Census Tract 207.01, San Francisco County, California",ACSSF,ca,140,0,9978,6,75,20701,14000US06075020701,Census Tract 207.01,,3073,126,2947,547,2564,4.1,95.9,17.8,83.44
06075020702,"Census Tract 207.02, San Francisco County, California",ACSSF,ca,140,0,9979,6,75,20702,14000US06075020702,Census Tract 207.02,,2228,20,2208,581,1895,0.9,99.1,26.08,85.05
06075020801,"Census Tract 208.01, San Francisco County, California",ACSSF,ca,140,0,9980,6,75,20801,14000US06075020801,Census Tract 208.01,,3629,139,3490,1018,2666,3.83,96.17,28.05,73.46
06075020802,"Census Tract 208.02, San Francisco County, California",ACSSF,ca,140,0,9981,6,75,20802,14000US06075020802,Census Tract 208.02,,2604,324,2280,645,1707,12.44,87.56,24.77,65.55
06075020900,"Census Tract 209, San Francisco County, California",ACSSF,ca,140,0,9982,6,75,20900,14000US06075020900,Census Tract 209,,4402,265,4137,1274,3231,6.02,93.98,28.94,73.4
06075021000,"Census Tract 210, San Francisco County, California",ACSSF,ca,140,0,9983,6,75,21000,14000US06075021000,Census Tract 210,,4051,115,3936,748,3408,2.84,97.16,18.46,84.13
06075021100,"Census Tract 211, San Francisco County, California",ACSSF,ca,140,0,9984,6,75,21100,14000US06075021100,Census Tract 211,,3960,80,3880,703,3638,2.02,97.98,17.75,91.87
06075021200,"Census Tract 212, San Francisco County, California",ACSSF,ca,140,0,9985,6,75,21200,14000US06075021200,Census Tract 212,,3007,100,2907,596,2716,3.33,96.67,19.82,90.32
06075021300,"Census Tract 213, San Francisco County, California",ACSSF,ca,140,0,9986,6,75,21300,14000US06075021300,Census Tract 213,,2692,114,2578,424,2507,4.23,95.77,15.75,93.13
06075021400,"Census Tract 214, San Francisco County, California",ACSSF,ca,140,0,9987,6,75,21400,14000US06075021400,Census Tract 214,,3641,24,3617,723,3202,0.66,99.34,19.86,87.94
06075021500,"Census Tract 215, San Francisco County, California",ACSSF,ca,140,0,9988,6,75,21500,14000US06075021500,Census Tract 215,,5622,196,5426,630,5102,3.49,96.51,11.21,90.75
06075021600,"Census Tract 216, San Francisco County, California",ACSSF,ca,140,0,9989,6,75,21600,14000US06075021600,Census Tract 216,,4189,44,4145,912,3708,1.05,98.95,21.77,88.52
