FIPS,Geo_QName,Geo_FILEID,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Median Household Income
06075015702,"Census Tract 157.02, San Francisco County, California",ACSSF,140,0,9939,06,075,15702,14000US06075015702,Census Tract 157.02,,194231
06075015801,"Census Tract 158.01, San Francisco County, California",ACSSF,140,0,9940,06,075,15801,14000US06075015801,Census Tract 158.01,,108447
06075015802,"Census Tract 158.02, San Francisco County, California",ACSSF,140,0,9941,06,075,15802,14000US06075015802,Census Tract 158.02,,138906
06075015900,"Census Tract 159, San Francisco County, California",ACSSF,140,0,9942,06,075,15900,14000US06075015900,Census Tract 159,,115635
06075016000,"Census Tract 160, San Francisco County, California",ACSSF,140,0,9943,06,075,16000,14000US06075016000,Census Tract 160,,119219
06075016101,"Census Tract 161.01, San Francisco County, California",ACSSF,140,0,9944,06,075,16101,14000US06075016101,Census Tract 161.01,,23750
06075016102,"Census Tract 161.02, San Francisco County, California",ACSSF,140,0,9945,06,075,16102,14000US06075016102,Census Tract 161.02,,22542
06075016200,"Census Tract 162, San Francisco County, California",ACSSF,140,0,9946,06,075,16200,14000US06075016200,Census Tract 162,,147429
06075016300,"Census Tract 163, San Francisco County, California",ACSSF,140,0,9947,06,075,16300,14000US06075016300,Census Tract 163,,122141
06075016400,"Census Tract 164, San Francisco County, California",ACSSF,140,0,9948,06,075,16400,14000US06075016400,Census Tract 164,,185357
06075016500,"Census Tract 165, San Francisco County, California",ACSSF,140,0,9949,06,075,16500,14000US06075016500,Census Tract 165,,161974
06075016601,"Census Tract 166.01, San Francisco County, California",ACSSF,140,0,9950,06,075,16601,14000US06075016601,Census Tract 166.01,,164938
06075016602,"Census Tract 166.02, San Francisco County, California",ACSSF,140,0,9951,06,075,16602,14000US06075016602,Census Tract 166.02,,193073
06075016700,"Census Tract 167, San Francisco County, California",ACSSF,140,0,9952,06,075,16700,14000US06075016700,Census Tract 167,,218466
06075016801,"Census Tract 168.01, San Francisco County, California",ACSSF,140,0,9953,06,075,16801,14000US06075016801,Census Tract 168.01,,175658
06075016802,"Census Tract 168.02, San Francisco County, California",ACSSF,140,0,9954,06,075,16802,14000US06075016802,Census Tract 168.02,,88210
06075016900,"Census Tract 169, San Francisco County, California",ACSSF,140,0,9955,06,075,16900,14000US06075016900,Census Tract 169,,138542
06075017000,"Census Tract 170, San Francisco County, California",ACSSF,140,0,9956,06,075,17000,14000US06075017000,Census Tract 170,,229476
06075017101,"Census Tract 171.01, San Francisco County, California",ACSSF,140,0,9957,06,075,17101,14000US06075017101,Census Tract 171.01,,182663
06075017102,"Census Tract 171.02, San Francisco County, California",ACSSF,140,0,9958,06,075,17102,14000US06075017102,Census Tract 171.02,,174375
06075017602,"Census Tract 176.02, San Francisco County, California",ACSSF,140,0,9959,06,075,17602,14000US06075017602,Census Tract 176.02,,52668
06075017603,"Census Tract 176.03, San Francisco County, California",ACSSF,140,0,9960,06,075,17603,14000US06075017603,Census Tract 176.03,,74389
06075017604,"Census Tract 176.04, San Francisco County, California",ACSSF,140,0,9961,06,075,17604,14000US06075017604,Census Tract 176.04,,108004
06075017700,"Census Tract 177, San Francisco County, California",ACSSF,140,0,9962,06,075,17700,14000US06075017700,Census Tract 177,,147986
06075017801,"Census Tract 178.01, San Francisco County, California",ACSSF,140,0,9963,06,075,17801,14000US06075017801,Census Tract 178.01,,30030
06075017803,"Census Tract 178.03, San Francisco County, California",ACSSF,140,0,9964,06,075,17803,14000US06075017803,Census Tract 178.03,,
06075017804,"Census Tract 178.04, San Francisco County, California",ACSSF,140,0,9965,06,075,17804,14000US06075017804,Census Tract 178.04,,125475
06075017903,"Census Tract 179.03, San Francisco County, California",ACSSF,140,0,9966,06,075,17903,14000US06075017903,Census Tract 179.03,,83077
06075018000,"Census Tract 180, San Francisco County, California",ACSSF,140,0,9967,06,075,18000,14000US06075018000,Census Tract 180,,170536
06075020101,"Census Tract 201.01, San Francisco County, California",ACSSF,140,0,9968,06,075,20101,14000US06075020101,Census Tract 201.01,,98678
06075020102,"Census Tract 201.02, San Francisco County, California",ACSSF,140,0,9969,06,075,20102,14000US06075020102,Census Tract 201.02,,
06075020201,"Census Tract 202.01, San Francisco County, California",ACSSF,140,0,9970,06,075,20201,14000US06075020201,Census Tract 202.01,,121723
06075020202,"Census Tract 202.02, San Francisco County, California",ACSSF,140,0,9971,06,075,20202,14000US06075020202,Census Tract 202.02,,135450
