FIPS,Total Population,ZIP,Longitude,Latitude,Asthma,Asthma Pctl
06075012602,2844,94123,-122.4356807,37.806476,15.19,4.01
06075012800,4556,94123,-122.4417466,37.7978099,14.01,2.85
06075030400,5573,94116,-122.4675173,37.7469509,26.51,19.29
06075017101,4113,94117,-122.4460837,37.7657245,46.92,51.93
06075013102,3012,94109,-122.4274293,37.7926193,24.04,14.89
06075016400,4008,94117,-122.4369729,37.7750995,46.92,51.93
06075021500,5674,94131,-122.426705,37.7450512,30.42,25.60
06075015802,3412,94115,-122.4385023,37.778079,36.07,35.07
06075012601,2516,94123,-122.4391478,37.8022695,15.36,4.19
06075017102,4095,94117,-122.4504754,37.7654353,46.92,51.93
06075020402,4564,94131,-122.4444148,37.7528357,19.44,8.59
06075030102,5262,94131,-122.4580012,37.7594542,18.58,7.33
06075030700,7024,94127,-122.4503095,37.7372232,25.97,18.20
06075030302,4348,94116,-122.4716376,37.7519442,20.44,9.75
06075030500,3230,94131,-122.4517871,37.7523832,16.09,4.76
06075021700,4556,94131,-122.4392706,37.740278,26.02,18.31
06075012902,3865,94123,-122.4321032,37.8006155,15.13,3.89
06075020300,3548,94114,-122.4294368,37.7649411,27.64,21.25
06075020600,5191,94114,-122.4303496,37.7595628,24.45,15.47
06075017000,4287,94114,-122.4394975,37.7648874,19.77,9.04
06075021400,3823,94114,-122.4294049,37.7495758,19.15,8.00
06075030600,2495,94127,-122.4571446,37.743754,25.93,18.13
06075021800,4095,94131,-122.4290987,37.737952,26.68,19.45
06075021200,3105,94114,-122.4381261,37.7531762,23.2,13.38
06075012901,2783,94123,-122.427246,37.8019611,14.46,3.27
06075021100,4080,94114,-122.4298144,37.75397,24.43,15.45
06075030800,6226,94127,-122.4678545,37.7391922,23.14,13.33
06075020401,3176,94114,-122.4434836,37.7595166,20.48,9.82
06075060100,4226,94129,-122.480109,37.7991353,13.34,2.42
06075013000,4719,94123,-122.4305121,37.7972449,14.74,3.50
06075020500,3046,94114,-122.4370296,37.7591285,24.92,16.35
06075021600,4135,94131,-122.4381417,37.7454964,26.14,18.53
06075021300,2590,94114,-122.4384676,37.7492646,19.52,8.66
06075980200,312,94121,-122.5028261,37.7860688,30.08,25.22
06075980300,63,94122,-122.4920873,37.7684025,16.73,5.30
06075980900,253,94124,-122.389477,37.7462861,60.26,69.29
